city,year,Total,30 to 99 persons engaged,100 to 299 persons engaged,300 or more persons engaged,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
札幌市,2019,203,149,42,12,19876,68425,230581,429312,400883,163803
仙台市,2019,109,77,25,7,11747,51484,599034,919450,895103,162181
さいたま市,2019,160,112,35,13,18510,82029,382428,742434,707337,311349
千葉市,2019,136,89,43,4,17855,93328,900598,1177988,1115752,240490
東京特別区,2019,806,681,104,21,66712,338395,922019,1721160,1579845,706949
横浜市,2019,495,343,110,42,67039,361605,2346927,3521406,3317065,788527
川崎市,2019,224,135,61,28,38202,242595,2714173,3876398,3822021,794683
相模原市,2019,205,132,50,23,29280,141581,793026,1165148,1105769,324150
新潟市,2019,249,178,52,19,28537,117740,587788,994208,871945,350064
静岡市,2019,273,201,53,19,35573,175589,1084829,1893936,1844125,723970
浜松市,2019,477,344,96,37,54073,255995,1021965,1695672,1650012,587300
名古屋市,2019,537,412,99,26,61617,323303,1649151,2660653,2501968,797913
京都市,2019,355,264,67,24,44586,239770,885049,2169535,2101464,777326
大阪市,2019,737,574,139,24,67284,345509,1684382,2677552,2316055,864963
堺市,2019,302,217,61,24,38876,219110,2241496,3196611,3065822,692934
神戸市,2019,367,239,97,31,55452,287736,1896091,3123023,2935029,1100734
岡山市,2019,232,158,60,14,24327,104184,532148,930655,914740,319154
広島市,2019,266,168,72,26,45480,231549,2155860,2915355,2805778,781437
北九州市,2019,281,188,66,27,39819,201769,1358732,2079661,2006116,585051
福岡市,2019,129,92,31,6,13915,52795,265632,471039,439898,147847
熊本市,2019,111,80,20,11,14704,59199,238271,400545,386040,138379
