"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
,,,,,Total,"30 to 99
persons engaged","100 to 299
persons engaged","300 or more
persons engaged",,,,,,
,,,,Years,,,,,（persons）,（mil. yen）,（mil. yen）,（mil. yen）,（mil. yen）,（mil. yen）
00,製造業計,00,全国計,2015,"45,346","32,296","9,839","3,211","5,659,631","27,683,950","178,611,339","279,553,100","258,326,731","83,522,145"
00,製造業計,00,全国計,2016,"44,595","30,899","10,294","3,402","5,826,549","27,951,884","168,747,873","270,703,973","248,990,282","84,180,482"
00,製造業計,00,全国計,2017,"45,430","31,395","10,539","3,496","5,981,578","28,658,521","181,364,205","287,074,969","266,087,031","90,229,440"
00,製造業計,00,全国計,2018,"45,997","31,648","10,804","3,545","6,092,805","29,731,246","192,510,479","299,705,737","277,663,558","91,129,242"
00,製造業計,00,全国計,2019,"45,636","31,366","10,726","3,544","6,061,711","29,754,507","187,265,777","290,940,419","268,809,419","87,142,229"
00,製造業計,01,北海道,2019,"1,226",927,239,60,"121,444","467,835","3,268,324","4,989,730","4,744,034","1,345,126"
00,製造業計,02,青森県,2019,389,276,87,26,"44,453","168,500","934,897","1,496,625","1,435,587","482,686"
00,製造業計,03,岩手県,2019,621,454,126,41,"69,332","273,598","1,563,957","2,325,562","2,263,135","652,052"
00,製造業計,04,宮城県,2019,747,516,175,56,"93,777","397,491","2,579,312","4,088,282","3,938,288","1,184,938"
00,製造業計,05,秋田県,2019,442,326,91,25,"46,813","178,867","635,834","1,112,793","1,098,681","414,732"
00,製造業計,06,山形県,2019,704,498,151,55,"78,014","325,562","1,374,651","2,486,702","2,432,088","933,680"
00,製造業計,07,福島県,2019,"1,050",719,258,73,"127,854","573,312","2,772,166","4,565,889","4,243,357","1,496,481"
00,製造業計,08,茨城県,2019,"1,526",974,406,146,"228,892","1,181,834","7,092,090","11,625,315","11,219,982","3,842,210"
00,製造業計,09,栃木県,2019,"1,180",769,300,111,"167,200","827,665","4,685,322","8,331,714","7,901,969","2,674,499"
00,製造業計,10,群馬県,2019,"1,240",837,297,106,"170,538","815,308","5,150,388","8,260,237","7,984,790","2,765,332"
00,製造業計,11,埼玉県,2019,"2,463","1,735",543,185,"292,327","1,317,884","7,390,243","11,898,161","11,340,020","3,960,175"
00,製造業計,12,千葉県,2019,"1,332",895,341,96,"165,222","833,078","7,710,135","11,419,624","10,895,695","2,725,619"
00,製造業計,13,東京都,2019,"1,353","1,057",221,75,"155,330","832,394","3,194,257","5,556,995","5,225,761","2,106,943"
00,製造業計,14,神奈川県,2019,"1,872","1,185",492,195,"290,776","1,591,651","10,715,534","16,354,989","15,779,680","4,462,954"
00,製造業計,15,新潟県,2019,"1,284",918,279,87,"140,837","586,214","2,403,050","4,184,856","3,954,971","1,546,340"
00,製造業計,16,富山県,2019,797,527,207,63,"103,323","481,668","2,087,731","3,516,498","3,277,407","1,226,453"
00,製造業計,17,石川県,2019,632,436,147,49,"78,948","369,431","1,582,616","2,597,805","2,524,757","870,055"
00,製造業計,18,福井県,2019,453,316,110,27,"53,581","245,351","1,152,143","1,947,890","1,855,096","670,147"
00,製造業計,19,山梨県,2019,437,288,117,32,"58,743","300,083","1,231,160","2,227,867","2,188,073","887,516"
00,製造業計,20,長野県,2019,"1,303",897,309,97,"158,777","772,468","3,344,094","5,459,452","4,538,557","1,859,275"
00,製造業計,21,岐阜県,2019,"1,358",939,336,83,"154,444","709,817","3,148,329","5,108,520","4,919,299","1,677,834"
00,製造業計,22,静岡県,2019,"2,350","1,601",531,218,"332,044","1,672,213","9,400,472","15,535,613","14,913,338","5,240,552"
00,製造業計,23,愛知県,2019,"3,796","2,498",927,371,"713,681","4,093,761","32,127,869","45,182,261","35,306,437","11,692,936"
00,製造業計,24,三重県,2019,"1,002",616,284,102,"177,315","941,860","6,839,556","10,042,961","9,800,230","2,717,630"
00,製造業計,25,滋賀県,2019,936,565,278,93,"142,338","756,411","4,471,310","7,515,890","7,149,731","2,706,924"
00,製造業計,26,京都府,2019,887,614,212,61,"107,383","534,171","2,444,303","5,007,124","4,677,853","1,914,744"
00,製造業計,27,大阪府,2019,"2,795","2,127",524,144,"297,954","1,529,885","9,014,983","14,029,144","13,025,189","4,153,031"
00,製造業計,28,兵庫県,2019,"2,074","1,358",535,181,"296,289","1,521,116","9,675,352","14,833,363","13,718,601","4,492,075"
00,製造業計,29,奈良県,2019,427,323,79,25,"44,901","204,248","1,192,122","1,811,922","1,435,025","570,231"
00,製造業計,30,和歌山県,2019,365,279,76,10,"38,037","175,843","1,501,244","2,370,861","2,331,734","700,375"
00,製造業計,31,鳥取県,2019,255,175,63,17,"26,228","98,650","447,534","689,103","626,732","206,637"
00,製造業計,32,島根県,2019,257,179,65,13,"31,727","130,564","657,057","1,098,823","1,084,874","374,047"
00,製造業計,33,岡山県,2019,941,628,241,72,"122,804","584,227","5,037,171","7,114,194","6,870,644","1,551,359"
00,製造業計,34,広島県,2019,"1,158",787,269,102,"175,412","896,684","6,345,832","8,947,766","8,273,135","2,368,971"
00,製造業計,35,山口県,2019,540,341,140,59,"81,070","413,331","4,003,100","6,266,880","6,036,434","1,830,415"
00,製造業計,36,徳島県,2019,247,165,65,17,"37,392","186,707","804,287","1,745,335","1,677,135","804,099"
00,製造業計,37,香川県,2019,456,305,121,30,"53,625","233,718","1,596,733","2,408,990","2,322,715","710,549"
00,製造業計,38,愛媛県,2019,535,388,111,36,"58,866","265,860","2,806,434","3,986,614","3,810,593","899,655"
00,製造業計,39,高知県,2019,208,171,35,2,"15,383","59,427","267,323","433,671","377,259","140,208"
00,製造業計,40,福岡県,2019,"1,356",935,311,110,"177,398","809,711","6,143,540","8,956,722","8,620,523","2,186,281"
00,製造業計,41,佐賀県,2019,385,236,117,32,"50,894","214,400","1,128,004","1,903,654","1,846,767","680,445"
00,製造業計,42,長崎県,2019,317,215,77,25,"40,169","176,140","800,361","1,509,743","1,436,774","581,375"
00,製造業計,43,熊本県,2019,533,349,134,50,"77,205","353,113","1,519,902","2,567,789","2,483,301","892,167"
00,製造業計,44,大分県,2019,385,261,93,31,"53,555","246,584","2,976,972","4,062,228","3,994,529","847,199"
00,製造業計,45,宮崎県,2019,376,255,92,29,"43,131","160,075","834,320","1,404,938","1,361,928","477,891"
00,製造業計,46,鹿児島県,2019,457,347,89,21,"51,508","198,346","1,030,784","1,640,395","1,587,467","511,706"
00,製造業計,47,沖縄県,2019,189,159,25,5,"14,777","47,454","182,980","318,924","279,243","105,680"
00,製造業計,61,札幌市,2019,203,149,42,12,"19,876","68,425","230,581","429,312","400,883","163,803"
00,製造業計,62,仙台市,2019,109,77,25,7,"11,747","51,484","599,034","919,450","895,103","162,181"
00,製造業計,63,さいたま市,2019,160,112,35,13,"18,510","82,029","382,428","742,434","707,337","311,349"
00,製造業計,64,千葉市,2019,136,89,43,4,"17,855","93,328","900,598","1,177,988","1,115,752","240,490"
00,製造業計,65,東京特別区,2019,806,681,104,21,"66,712","338,395","922,019","1,721,160","1,579,845","706,949"
00,製造業計,66,横浜市,2019,495,343,110,42,"67,039","361,605","2,346,927","3,521,406","3,317,065","788,527"
00,製造業計,67,川崎市,2019,224,135,61,28,"38,202","242,595","2,714,173","3,876,398","3,822,021","794,683"
00,製造業計,68,相模原市,2019,205,132,50,23,"29,280","141,581","793,026","1,165,148","1,105,769","324,150"
00,製造業計,69,新潟市,2019,249,178,52,19,"28,537","117,740","587,788","994,208","871,945","350,064"
00,製造業計,70,静岡市,2019,273,201,53,19,"35,573","175,589","1,084,829","1,893,936","1,844,125","723,970"
00,製造業計,71,浜松市,2019,477,344,96,37,"54,073","255,995","1,021,965","1,695,672","1,650,012","587,300"
00,製造業計,72,名古屋市,2019,537,412,99,26,"61,617","323,303","1,649,151","2,660,653","2,501,968","797,913"
00,製造業計,73,京都市,2019,355,264,67,24,"44,586","239,770","885,049","2,169,535","2,101,464","777,326"
00,製造業計,74,大阪市,2019,737,574,139,24,"67,284","345,509","1,684,382","2,677,552","2,316,055","864,963"
00,製造業計,75,堺市,2019,302,217,61,24,"38,876","219,110","2,241,496","3,196,611","3,065,822","692,934"
00,製造業計,76,神戸市,2019,367,239,97,31,"55,452","287,736","1,896,091","3,123,023","2,935,029","1,100,734"
00,製造業計,77,岡山市,2019,232,158,60,14,"24,327","104,184","532,148","930,655","914,740","319,154"
00,製造業計,78,広島市,2019,266,168,72,26,"45,480","231,549","2,155,860","2,915,355","2,805,778","781,437"
00,製造業計,79,北九州市,2019,281,188,66,27,"39,819","201,769","1,358,732","2,079,661","2,006,116","585,051"
00,製造業計,80,福岡市,2019,129,92,31,6,"13,915","52,795","265,632","471,039","439,898","147,847"
00,製造業計,81,熊本市,2019,111,80,20,11,"14,704","59,199","238,271","400,545","386,040","138,379"
09,食料品製造業,00,全国計,2015,"7,561","5,105","1,888",568,"876,768","2,709,280","14,958,768","24,285,746","23,124,625","8,096,433"
09,食料品製造業,00,全国計,2016,"7,408","4,801","1,998",609,"904,754","2,733,119","14,997,550","24,754,500","23,514,815","8,463,366"
09,食料品製造業,00,全国計,2017,"7,497","4,873","1,995",629,"918,976","2,791,832","15,383,752","25,429,776","24,134,822","8,758,895"
09,食料品製造業,00,全国計,2018,"7,583","4,875","2,066",642,"932,176","2,877,408","15,966,501","26,233,557","24,876,808","8,937,529"
09,食料品製造業,00,全国計,2019,"7,480","4,777","2,060",643,"930,371","2,910,859","15,884,879","26,362,684","24,965,411","9,111,443"
09,食料品製造業,01,北海道,2019,617,449,137,31,"62,058","186,049","1,251,037","1,863,676","1,773,292","521,180"
09,食料品製造業,02,青森県,2019,109,71,32,6,"11,961","32,841","217,521","308,412","290,720","77,073"
09,食料品製造業,03,岩手県,2019,142,99,36,7,"15,030","40,501","214,045","329,798","314,130","99,316"
09,食料品製造業,04,宮城県,2019,204,146,46,12,"22,300","65,317","335,110","533,754","493,451","169,396"
09,食料品製造業,05,秋田県,2019,54,37,16,1,"5,122","13,514","52,495","84,995","80,489","28,596"
09,食料品製造業,06,山形県,2019,109,80,21,8,"11,681","35,931","185,273","288,033","278,855","88,518"
09,食料品製造業,07,福島県,2019,116,74,37,5,"12,115","33,481","155,108","250,505","240,877","80,137"
09,食料品製造業,08,茨城県,2019,268,153,83,32,"37,331","127,977","815,509","1,321,221","1,279,511","428,615"
09,食料品製造業,09,栃木県,2019,148,78,52,18,"20,301","67,387","329,270","601,133","573,942","235,898"
09,食料品製造業,10,群馬県,2019,177,102,56,19,"23,750","79,590","487,402","794,787","734,076","264,618"
09,食料品製造業,11,埼玉県,2019,402,228,110,64,"65,056","197,087","1,082,532","1,913,391","1,822,318","724,502"
09,食料品製造業,12,千葉県,2019,298,173,93,32,"44,019","154,108","951,177","1,494,800","1,443,300","469,652"
09,食料品製造業,13,東京都,2019,173,111,41,21,"23,301","80,962","365,002","611,669","562,448","216,242"
09,食料品製造業,14,神奈川県,2019,257,118,93,46,"48,532","155,389","939,305","1,579,267","1,483,100","563,135"
09,食料品製造業,15,新潟県,2019,199,123,49,27,"28,335","88,978","362,209","718,689","693,858","308,106"
09,食料品製造業,16,富山県,2019,69,52,17,***,"5,546","16,281","72,405","117,685","110,836","38,591"
09,食料品製造業,17,石川県,2019,93,66,22,5,"9,156","25,305","81,475","145,159","137,090","54,858"
