製造業計,Number,NL_NAME_1,年次,事業所数,従業者数,現金給与総額,原材料使用額等,製造品出荷額等,付加価値額,,
製造業計,1,北海道,2016,5189,167770,591353,3876653,6057594,1659339,,
製造業計,2,青森県,2016,1386,57283,190260,1060863,1807044,652564,,
製造業計,3,岩手県,2016,2081,85282,298866,1597733,2371678,671065,,
製造業計,4,宮城県,2016,2618,114587,437727,2512591,4112832,1274536,,
製造業計,5,秋田県,2016,1800,61695,204941,673771,1235285,476111,,
製造業計,6,山形県,2016,2496,98974,371703,1609040,2663410,929781,,
製造業計,7,福島県,2016,3620,154979,627643,3044864,4977861,1639758,,
製造業計,8,茨城県,2016,5154,262878,1237005,6849814,11208758,3655662,,
製造業計,9,栃木県,2016,4218,201552,916268,5065281,8946775,2953019,,
製造業計,10,群馬県,2016,4794,205086,880972,5302802,8699262,3004788,,
製造業計,11,埼玉県,2016,10975,384055,1624844,7654870,12682801,4416028,,
製造業計,12,千葉県,2016,4815,202833,936954,7333468,11401976,2894200,,
製造業計,13,東京都,2016,10789,252315,1186079,4120157,7784885,3305093,,
製造業計,14,神奈川県,2016,7697,350673,1769114,10146924,16288163,4897348,,
製造業計,15,新潟県,2016,5339,184942,693954,2622011,4693451,1798864,,
製造業計,16,富山県,2016,2717,124328,532745,2180526,3677049,1293904,,
製造業計,17,石川県,2016,2861,101950,415285,1633553,2834897,1030596,,
製造業計,18,福井県,2016,2161,72942,291809,1162883,2043665,734803,,
製造業計,19,山梨県,2016,1764,71191,309500,1294870,2250682,867775,,
製造業計,20,長野県,2016,4994,198887,878143,3489884,5831935,2051401,,
製造業計,21,岐阜県,2016,5721,198775,814348,3135442,5385390,1958177,,
製造業計,22,静岡県,2016,9299,398450,1812990,9402032,16132178,5682219,,
製造業計,23,愛知県,2016,15870,828077,4466110,30288616,44909000,12975269,,
製造業計,24,三重県,2016,3498,197322,944532,6195299,9895478,3083823,,
製造業計,25,滋賀県,2016,2655,155197,755427,4209789,7297255,2701699,,
製造業計,26,京都府,2016,4398,143999,638371,2560517,5448552,2016653,,
製造業計,27,大阪府,2016,15990,436048,2001343,9397238,15819650,5230068,,
製造業計,28,兵庫県,2016,7996,356782,1691002,9411601,15105350,4882005,,
製造業計,29,奈良県,2016,1923,62251,250101,1083231,1819324,652598,,
製造業計,30,和歌山県,2016,1736,52439,211085,1525254,2613450,848762,,
製造業計,31,鳥取県,2016,820,32725,110974,458391,735270,236103,,
製造業計,32,島根県,2016,1140,40519,147666,648127,1096063,380203,,
製造業計,33,岡山県,2016,3272,144761,631379,4667580,7091936,1815032,,
製造業計,34,広島県,2016,4920,215192,1002645,6473789,9941466,3200092,,
製造業計,35,山口県,2016,1735,92396,430644,3385103,5609000,1775495,,
製造業計,36,徳島県,2016,1146,47175,210205,802544,1700234,759517,,
製造業計,37,香川県,2016,1890,69679,273998,1596599,2462495,738906,,
製造業計,38,愛媛県,2016,2189,76840,315774,2551019,3814248,1034794,,
製造業計,39,高知県,2016,1156,25719,83535,340047,567796,190543,,
製造業計,40,福岡県,2016,5348,216032,898935,6191335,9250306,2439572,,
製造業計,41,佐賀県,2016,1350,60600,222335,1057062,1790881,646112,,
製造業計,42,長崎県,2016,1676,58643,226528,892434,1739733,665163,,
製造業計,43,熊本県,2016,2037,91551,378958,1483243,2672233,1031464,,
製造業計,44,大分県,2016,1472,65942,265145,2632540,3694883,824701,,
製造業計,45,宮崎県,2016,1424,55610,180673,929469,1616623,545878,,
製造業計,46,鹿児島県,2016,2094,69683,237796,1193262,1957944,657151,,
製造業計,47,沖縄県,2016,1116,24760,68088,248277,448460,163002,,
