"","","","","/宿泊の有無","宿泊旅行","宿泊旅行","宿泊旅行","宿泊旅行","日帰り旅行","日帰り旅行","日帰り旅行","日帰り旅行"
"表章項目","居住地・主目的地・目的地","時間軸（年次）","地方別都道府県","/旅行目的","計","観光・レクリエーション","帰省・知人訪問等","出張・業務","計","観光・レクリエーション","帰省・知人訪問等","出張・業務"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","全国","","325,658","176,670","93,222","55,766","315,422","208,799","51,131","55,491"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","北海道","","19,171","9,517","5,745","3,909","10,885","7,545","2,114","1,226"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","東北","","26,641","12,899","9,971","3,771","20,964","13,161","3,344","4,459"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","青森県","","2,808","1,321","953","534","1,911","1,147","342","422"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","岩手県","","3,881","1,551","1,556","773","2,842","1,700","551","591"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","宮城県","","7,185","3,570","2,766","848","6,871","4,138","865","1,869"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","秋田県","","2,875","975","1,512","388","1,217","909","281","28"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","山形県","","3,379","1,767","1,098","514","3,024","2,049","337","638"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","福島県","","6,515","3,716","2,086","713","5,099","3,219","968","912"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","関東","","86,369","47,997","22,272","16,100","108,755","70,878","17,736","20,141"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","茨城県","","3,999","1,624","1,541","833","8,677","5,899","1,284","1,494"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","栃木県","","8,646","6,366","1,893","388","8,728","6,413","1,609","705"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","群馬県","","7,049","5,311","1,155","583","6,932","4,749","1,240","943"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","埼玉県","","4,714","1,300","2,604","810","8,844","5,126","2,595","1,123"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","千葉県","","15,613","10,716","3,478","1,419","17,580","13,710","2,453","1,417"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","東京都","","29,053","11,487","6,947","10,619","33,879","16,628","4,801","12,450"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","神奈川県","","12,408","7,208","3,877","1,323","16,889","12,148","3,244","1,497"
"延べ旅行者数─国内旅行【千人】","主目的地","2016年","山梨県","","4,888","3,984","778","125","7,226","6,204","510","512"
